Estado,Fecha,Predicador,Titulo / Pasaje,Duracion,Carpeta,Notas,Link
ARCHIVADA,2026-08-16,Felipe Burgos,,49 min,2026 / 2026-08 agosto,,https://drive.google.com/file/d/1pt47t09SKluNjx35q2HRkB-kIvRCSv_D/view
ARCHIVADA,2026-08-09,Felipe Burgos,,52 min,2026 / 2026-08 agosto,,https://drive.google.com/file/d/1R1IsklCv5JooQlRsFZPvd_MZ6aYirJ9z/view
ARCHIVADA,2026-08-02,Mariel Álvarez,Mateo 7:7-12,39 min,2026 / 2026-08 agosto,,https://drive.google.com/file/d/15WjDVrXGr_u9PCt8TyMZEbY-3ds2UX_5/view
ARCHIVADA,2026-07-26,Felipe Burgos,,62 min,2026 / 2026-07 julio,Estaba como 27-07 (lunes); corregido a 26-07 (domingo),https://drive.google.com/file/d/1xA9r61xYPGGpxxcB1x5nqR0IU5-gz9Ux/view
ARCHIVADA,2026-07-19,Cliff,,28 min,2026 / 2026-07 julio,,https://drive.google.com/file/d/16kIZ-iAGUQgsm1P1_9kVHfHGnGzPT_TW/view
ARCHIVADA,2026-07-12,Felipe Burgos,,48 min,2026 / 2026-07 julio,,https://drive.google.com/file/d/1pQOScYwhnKmTaMN3ZHWJoUAScD8JZY3Y/view
ARCHIVADA,2026-07-05,Felipe Burgos,,55 min,2026 / 2026-07 julio,Fecha deducida de la metadata y confirmada por el usuario,https://drive.google.com/file/d/1-Tox29rwlf5B_qX6r8SGqBqTB0vxFWhQ/view
ARCHIVADA,2026-06-28,Álvaro,,58 min,2026 / 2026-06 junio,,https://drive.google.com/file/d/1oll4BM65001jUiRge4vXVu2kGBX7-iP-/view
ARCHIVADA,2026-06-21,Felipe Burgos,,56 min,2026 / 2026-06 junio,,https://drive.google.com/file/d/1vNWUlKZSpKk4-WPJwEWf6ePUruySjMFK/view
ARCHIVADA,2026-06-14,Felipe Burgos,,51 min,2026 / 2026-06 junio,Fecha deducida de la metadata y confirmada por el usuario,https://drive.google.com/file/d/1EzX3kcVokEMdXVyXGgPLyX9YvxJZSw8U/view
ARCHIVADA,2026-05-31,Cliff,,62 min,2026 / 2026-05 mayo,Ojo: subiste una copia rotulada 05-06-2026 (viernes). Se mantiene 31-05,https://drive.google.com/file/d/1EUM5f-C1wM1d_zsEXhBTHRAwHn1v_Elc/view
ARCHIVADA,2026-05-24,Felipe Burgos,,41 min,2026 / 2026-05 mayo,Unico mp3 real del archivo (320 kbps),https://drive.google.com/file/d/16y--EltdTEXxazt_gz2Q9fWMwRGwrGrd/view
ARCHIVADA,2026-05-17,Felipe Burgos,,55 min,2026 / 2026-05 mayo,,https://drive.google.com/file/d/1wm5Bc5PLZ-MxKAcqy5pWU6cWksQo5CRw/view
